Questions,Difficulty Level,Bloom's Taxonomy,Category,Sub Category
how did serfdom develop in and then leave russia,Hard,Understanding,Description,Manner
what films featured the character popeye doyle,Medium,Understanding,Entity,"Currency, monetary value, or gem"
how can i find a list of celebrities   real names,Hard,Understanding,Description,Manner
what fowl grabs the spotlight after the chinese year of the monkey,Medium,Understanding,Entity,Animal
what is the full form of  com,Easy,Remembering,Abbreviation,Expression
what contemptible scoundrel stole the cork from my lunch,Medium,Understanding,Human,Individual
what team did baseball  s st  louis browns become,Medium,Understanding,Human,Groups
what is the oldest profession,Easy,Remembering,Human,Title
what are liver enzymes,Medium,Understanding,Description,Definition
name the scar faced bounty hunter of the old west  ,Medium,Remembering,Human,Individual
when was ozzy osbourne born,Medium,Understanding,Numeric,Date
why do heavier objects travel downhill faster,Medium,Understanding,Description,Reason
who was the pride of the yankees,Medium,Remembering,Human,Individual
who killed gandhi,Easy,Remembering,Human,Individual
what is considered the costliest disaster the insurance industry has ever faced,Easy,Remembering,Entity,Event
what sprawling u s  state boasts the most airports,Medium,Understanding,Location,State or province
what did the only repealed amendment to the u s  constitution deal with,Hard,Analyzing,Description,Description
how many jews were executed in concentration camps during wwii,Medium,Understanding,Numeric,Count
what is    nine inch nails   ,Easy,Remembering,Description,Definition
what is an annotated bibliography,Easy,Remembering,Description,Definition
what is the date of boxing day,Easy,Remembering,Numeric,Date
what articles of clothing are tokens in monopoly,Medium,Understanding,Entity,Other
name    famous martyrs  ,Medium,Remembering,Human,Individual
what  s the olympic motto,Medium,Understanding,Description,Description
what is the origin of the name   scarlett  ,Easy,Remembering,Description,Description
what  s the second most used vowel in english,Medium,Understanding,Entity,Letter
who was the inventor of silly putty,Easy,Remembering,Human,Individual
what is the highest waterfall in the united states,Easy,Remembering,Location,Other
name a golf course in myrtle beach  ,Medium,Remembering,Entity,Other
which two states enclose chesapeake bay,Medium,Understanding,Location,State or province
what does the abbreviation aids stand for,Hard,Understanding,Abbreviation,Expression
what does a spermologer collect,Medium,Understanding,Entity,Other
how many points make up a perfect fivepin bowling score,Hard,Understanding,Numeric,Count
which company that manufactures video game hardware sells the    super system   ,Medium,Understanding,Human,Groups
how many community chest cards are there in monopoly,Medium,Understanding,Numeric,Count
what do mormons believe,Medium,Understanding,Description,Description
when did the neanderthal man live,Hard,Analyzing,Numeric,Date
in what religion was isis the nature goddess,Medium,Understanding,Entity,Religion
where do the adventures of    the swiss family robinson    take place,Medium,Understanding,Location,Other
what relative of the racoon is sometimes known as the cat bear,Easy,Remembering,Entity,Animal
how can i register my website in yahoo for free,Hard,Understanding,Description,Manner
what was cash conscious colonel edwin l  drake the first to drill,Medium,Understanding,Entity,Other
how many people in the world speak french,Hard,Understanding,Numeric,Count
how many inches over six feet is the venus de milo,Easy,Remembering,Numeric,Count
how do they find or choose witnesses to an execution,Medium,Understanding,Description,Manner
what     s cowboy star rode tony the wonder horse,Medium,Understanding,Human,Individual
what cocktail inspired john doxat to write the book stirred not shaken,Medium,Understanding,Entity,Food
what isps exist in the caribbean,Hard,Understanding,Human,Groups
how do you ask a total stranger out on a date,Medium,Understanding,Description,Manner
what weapon is the mythological character apollo most proficient with,Easy,Remembering,Entity,Other
what country do the galapagos islands belong to,Medium,Understanding,Location,Country
what is ethology,Easy,Remembering,Description,Definition
who was the prophet of the muslim people,Easy,Remembering,Human,Individual
where did the term      ed    come from,Medium,Understanding,Description,Description
who is snoopy  s arch enemy,Easy,Remembering,Human,Individual
what is the nature of learning,Easy,Remembering,Description,Definition
what  s the only color johnny cash wears on stage,Medium,Understanding,Entity,Color
what  s the term for a young fox,Medium,Understanding,Entity,Term or equation
what u s  state lived under six flags,Medium,Understanding,Location,State or province
what is the kashmir issue,Easy,Remembering,Description,Definition
where is the loop,Easy,Remembering,Location,Other
what does    extended definition    mean and how would one write a paper on it,Medium,Understanding,Description,Definition
what country  s capital is tirana,Easy,Remembering,Location,Country
what is titanium,Easy,Remembering,Description,Definition
who do herb and tootsie live next door to,Easy,Remembering,Human,Individual
which city has the oldest relationship as a sisterðcity with los angeles,Hard,Remembering,Location,City
what is a caldera,Easy,Remembering,Description,Definition
why do people get calluses,Medium,Understanding,Description,Reason
what are the names of the tourist attractions in reims,Medium,Understanding,Location,Other
what are cushman and wakefield known for,Medium,Understanding,Description,Reason
what body of water does the danube river flow into,Hard,Understanding,Location,Other
who is the founder of scientology,Easy,Remembering,Human,Individual
what does the six footed musca domestica become when it enters a house,Hard,Understanding,Entity,Other
what is the history of skateboarding,Easy,Remembering,Description,Description
who starred in singing in the rain and the singing nun,Hard,Remembering,Human,Individual
how do i make fuel bricks from recycled newspaper,Hard,Understanding,Description,Manner
what   th century painter died in the marquesas islands,Medium,Understanding,Human,Individual
the corpus callosum is in what part of the body,Medium,Understanding,Entity,Body
how do i log on to home page at headquarters u s  european command,Hard,Understanding,Description,Manner
what country did the nazis occupy for     cd nns in nnp nnp nnp  ,Medium,Understanding,Location,Country
what is nebraska  s most valuable resource,Easy,Remembering,Entity,Other
how many species of the great white shark are there,Medium,Understanding,Numeric,Count
what is the origin of head lice,Easy,Remembering,Description,Description
what is the nickname for the state of mississippi,Easy,Remembering,Location,State or province
what was the first domesticated bird,Medium,Understanding,Entity,Animal
how many villi are found in the small intestine,Hard,Understanding,Numeric,Count
what country did king wenceslas rule,Medium,Understanding,Location,Country
what is a fear of shadows,Easy,Remembering,Entity,Disease or medical condition
who were the five marx brothers,Easy,Remembering,Human,Individual
in which year was new zealand excluded from the anzus alliance,Medium,Understanding,Numeric,Date
when did cnn begin broadcasting,Medium,Understanding,Numeric,Date
what causes the body to shiver in cold temperatures,Medium,Understanding,Description,Reason
what are bear and bull markets,Medium,Understanding,Description,Definition
what j r r  tolkien book features bilbo baggins as the central character,Medium,Remembering,Entity,"Currency, monetary value, or gem"
what is    dew point   ,Easy,Remembering,Description,Definition
what is the meaning of jesus,Easy,Remembering,Description,Definition
what company  s logo is a    w    in a circle,Easy,Remembering,Human,Groups
what is the definition of a cascade,Easy,Remembering,Description,Definition
when did rococo painting and architecture flourish,Medium,Understanding,Numeric,Date
what country  s national passenger rail system is called via,Medium,Remembering,Location,Country
who invented make up,Easy,Remembering,Human,Individual
what is the origin of the word    attic   ,Easy,Remembering,Description,Description
what did delilah do to samson  s hair,Medium,Understanding,Description,Description
what kind of animals were in the paleozoic era,Medium,Understanding,Entity,Animal
which of the following was rhodes scholar,Medium,Understanding,Human,Individual
who comprised the now defunct comic book team known as the champions,Easy,Remembering,Human,Individual
how do you make a paintball,Medium,Understanding,Description,Manner
what u s  state is fort knox in,Easy,Remembering,Location,State or province
what is a female rabbit called,Easy,Remembering,Entity,Animal
where is the highest point in japan,Easy,Remembering,Location,Mountain
where do chihuahuas come from,Medium,Understanding,Description,Description
where does barney rubble go to work after he drops fred off in the    flintstones    cartoon series,Hard,Understanding,Location,Other
what are the world  s four oceans,Medium,Understanding,Location,Other
what  s the only work by michelangelo that bears his signature,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what is the largest snake in the world,Easy,Remembering,Entity,Animal
in what medium is stuart hamblen considered to be the first singing cowboy,Medium,Remembering,Entity,"Currency, monetary value, or gem"
where on the internet can i find a song lyrics database similar to the international lyrics server,Medium,Understanding,Location,Other
how much money does a back injury lawsuit get,Hard,Understanding,Numeric,Money
what  s the common name for acetylsalicylic acid,Medium,Remembering,Entity,Term or equation
what does the georgetown    hoya    mean,Hard,Understanding,Description,Definition
where can i find a list of    classic    books  th and  th graders should read,Medium,Understanding,Location,Other
which two products use a tiger as their symbol,Medium,Remembering,Entity,Product
how is the election of a new pope announced to the world,Easy,Remembering,Description,Manner
how long does it take for your blood to make one complete trip through the body,Medium,Understanding,Numeric,Period of time
how do chickens have baby chicks,Hard,Understanding,Description,Manner
what is the historical relationship of catholic church and bingo,Easy,Remembering,Description,Description
how was the element calcium named,Hard,Understanding,Description,Manner
what crooner joined the andrews sisters for pistol packin mama,Hard,Understanding,Human,Individual
what piano company claims its product is the    instrument of the immortals   ,Easy,Remembering,Human,Groups
when did the bounty mutiny take place,Medium,Creating,Numeric,Date
what novel inspired the movie bladerunner,Medium,Remembering,Entity,"Currency, monetary value, or gem"
what is a transistor,Easy,Remembering,Description,Definition
what is a film starring jude law,Easy,Remembering,Entity,"Currency, monetary value, or gem"
what hollywood dog died in the arms of jean harlow in     ,Hard,Understanding,Entity,Animal
what are the most common elements in the earth  s crust,Medium,Understanding,Entity,Substance
how much would it cost to purchase a   foot square party tent   with sides  ,Medium,Creating,Numeric,Money
what actress has received the most oscar nominations,Medium,Understanding,Human,Individual
what are equity securities,Medium,Understanding,Description,Definition
what is gymnophobia,Easy,Remembering,Description,Definition
how many years do fossils take to form,Medium,Understanding,Numeric,Count
where is the orinoco,Easy,Remembering,Location,Other
what was the name of the    little rascals    dog,Medium,Remembering,Entity,Animal
what city boasts penn  s landing   on the banks of the delaware river,Medium,Understanding,Location,City
what broadway musical was inspired by cervantes  s don quixote,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what is the origin of the word   jj  ,Easy,Remembering,Description,Description
how many hostages were killed in the entebbe raid,Hard,Understanding,Numeric,Count
how you can raise your iq,Medium,Understanding,Description,Manner
what does inri stand for when used on jesus   cross,Medium,Understanding,Abbreviation,Expression
who produces spumante,Easy,Remembering,Human,Groups
who earns their money the hard way,Easy,Remembering,Human,Individual
who founded the people  s temple commune,Easy,Remembering,Human,Individual
what athlete makes the most money from sports merchandise sales,Medium,Understanding,Human,Individual
how many bends are there in a standard paper clip,Medium,Understanding,Numeric,Count
who discovered electricity,Medium,Remembering,Human,Individual
what part of your body contains the corpus callosum,Medium,Understanding,Entity,Body
who was the first american in space,Easy,Remembering,Human,Individual
what two south american countries do n t border brazil,Medium,Understanding,Location,Country
what album put the beatles on the cover of time in     ,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what poem contains the line      grow old with me the best is yet to be     ,Medium,Creating,Entity,"Currency, monetary value, or gem"
what is a dental root canal,Easy,Remembering,Description,Definition
what war did the wanna go home riots occur after,Medium,Understanding,Entity,Event
what is the busiest air travel season,Easy,Remembering,Numeric,Date
what  s the colored part of the eye called,Medium,Understanding,Entity,Body
what are hook worms,Medium,Understanding,Description,Definition
where is the rose bowl played,Easy,Remembering,Location,Other
which japanese car maker had its biggest percentage of sale in the domestic market,Medium,Understanding,Human,Groups
who is the mayor of marbella,Easy,Remembering,Human,Individual
what sun blasted      mile wide valley is just north of the mojave desert,Easy,Remembering,Location,Other
in what year did thatcher become prime minister,Medium,Understanding,Numeric,Date
how many months does it take the moon to revolve around the earth,Medium,Understanding,Numeric,Count
where are the    steps,Medium,Understanding,Location,Other
in what year was de gaulle elected president of france,Medium,Understanding,Numeric,Date
who sings the themes for    dawson  s creek    and    felicity   ,Easy,Remembering,Human,Individual
who directed    jaws   ,Easy,Remembering,Human,Individual
on what t v  show could tom terrific be found,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what indian tribe is f troop perpetually doing battle with,Easy,Remembering,Human,Groups
where did indian pudding come from,Medium,Understanding,Description,Description
why do some clothing labels say    use a nonchlorine bleach   ,Medium,Understanding,Description,Reason
how many colonies were involved in the american revolution,Medium,Understanding,Numeric,Count
what is the name of the city that maurizio pellegrin lives in,Easy,Remembering,Location,City
where can i find pictorial directions on how to build a very simple treehouse,Hard,Understanding,Location,Other
what game  s board shows the territories of irkutsk   yakutsk and kamchatka,Medium,Understanding,Entity,Sport
what is the name of the managing director of apricot computer,Easy,Remembering,Human,Individual
what is the occupation of nicholas cage,Easy,Remembering,Human,Title
why do horseshoes bring luck,Medium,Understanding,Description,Reason
what is the       k   plan,Easy,Remembering,Description,Definition
what causes pneumonia,Medium,Understanding,Description,Reason
what are the three winter months in the southern hemisphere,Medium,Understanding,Numeric,Date
what does gringo mean,Medium,Understanding,Description,Definition
what country contains africa  s northernmost point,Easy,Remembering,Location,Country
what therapy attempts to elicit the    primal scream   ,Medium,Understanding,Entity,Disease or medical condition
where is the kalahari desert,Easy,Remembering,Location,Other
which ventura county police department seized the largest cocaine shipment in it  s history,Easy,Remembering,Human,Groups
what city is sometimes called gotham,Easy,Remembering,Location,City
what dangles over the tongue from the palate,Medium,Understanding,Entity,Body
who created dennis the menace,Easy,Remembering,Human,Individual
what dummy received an honorary degree from northwestern university,Medium,Creating,Human,Individual
when was the first wall street journal published,Hard,Analyzing,Numeric,Date
what countries have the largest areas of forest,Medium,Remembering,Location,Country
how do i start a web based business,Hard,Understanding,Description,Manner
name alvin  s brothers,Medium,Remembering,Human,Individual
what is eagle  s syndrome styloid process,Easy,Remembering,Description,Definition
how did jayne mansfield die,Hard,Understanding,Description,Manner
when did the royal wedding of prince andrew and fergie take place,Medium,Understanding,Numeric,Date
what actor said in a day at the races      either he  s dead or my watch has stopped   ,Medium,Understanding,Human,Individual
what explorer was nicknamed iberia  s pilot,Medium,Understanding,Human,Individual
cnn began broadcasting in what year,Medium,Understanding,Numeric,Date
what is a ball that hits the foul pole called,Easy,Remembering,Entity,Term or equation
what makes hamburgers taste like steakburgers,Medium,Understanding,Description,Reason
which company created the internet browser mosaic,Medium,Understanding,Human,Groups
what are the rites accompanying the circumcision of a newly born child in judaism called,Medium,Understanding,Entity,Event
what was the education system in the       s,Medium,Understanding,Entity,Other
what south american city has the world  s highest commercial landing field,Easy,Remembering,Location,City
how can i find out which cities have cable modem access,Hard,Understanding,Description,Manner
what is betsy ross famous for,Easy,Remembering,Description,Reason
how many species of sharks are there,Medium,Understanding,Numeric,Count
what is    snoogans   ,Easy,Remembering,Description,Definition
how many people are there in the world,Hard,Understanding,Numeric,Count
what shrubs can be planted that will be safe from deer,Medium,Creating,Entity,Plant
what organization  s offices were broken into at watergate in     ,Medium,Understanding,Human,Groups
what is the design of the ship titanic,Easy,Remembering,Description,Description
what does s o s  stand for,Hard,Understanding,Abbreviation,Expression
name a technique widely used to detect birth defects,Medium,Remembering,Entity,Technology or method
what is the daily requirement of folic acid for an expectant mother,Easy,Remembering,Description,Description
what is the      minute cigarette   ,Easy,Remembering,Description,Definition
what four forms does gold occur in,Hard,Understanding,Entity,Other
what is the acreage of the chappellet vineyard,Easy,Remembering,Numeric,Volume or size
how do you correctly say the word   qigong  ,Medium,Understanding,Description,Manner
when did beethoven die,Medium,Understanding,Numeric,Date
how much does a new railroad coal car cost,Hard,Understanding,Numeric,Money
what two european countries entered the war of american independence against the british,Medium,Understanding,Location,Country
what is the filmmakers collabrative,Easy,Remembering,Description,Definition
what russian composer  s prelude in c sharp minor brought him fame and fortune,Medium,Understanding,Human,Individual
what caused harry houdini  s death,Medium,Understanding,Description,Reason
who was the mother of the man who would not be king   the duke of windsor,Easy,Remembering,Human,Individual
how many revolutions does a standard lp make in three minutes,Hard,Understanding,Numeric,Count
